,1,2,3,4,5
0,Skeleton King,1,52,7%,51%
1,Archer Queen,2,51,25%,50%
2,Giant Snowball,3,51,14%,51%
3,Royal Ghost,4,50,12%,51%
4,Tornado,5,50,20%,50%
5,Spear Goblins,6,50,4%,51%
6,Graveyard,7,50,14%,50%
7,Ice Wizard,8,50,5%,51%
8,Electro Giant,9,50,4%,51%
9,Barbarian Barrel,10,50,18%,50%
10,Bandit,11,50,17%,50%
11,Royal Hogs,12,50,8%,50%
12,Cannon,13,49,9%,50%
13,Rocket,14,49,10%,50%
14,Fire Spirit,15,49,12%,50%
15,Lightning,16,49,12%,50%
16,Royal Delivery,17,49,7%,50%
17,Valkyrie,18,49,20%,50%
18,Skeleton Army,19,49,16%,50%
19,The Log,20,49,34%,50%
20,X-Bow,21,49,4%,51%
21,Electro Spirit,22,49,13%,50%
22,Dark Prince,23,49,16%,50%
23,Bowler,24,49,6%,50%
24,Bomber,25,48,5%,50%
25,Zappies,26,48,4%,51%
26,Baby Dragon,27,48,12%,50%
27,Tombstone,28,48,9%,50%
28,Battle Ram,29,48,5%,50%
29,Freeze,30,48,6%,50%
30,P.E.K.K.A,31,48,6%,50%
31,Mother Witch,32,48,2%,51%
32,Fisherman,33,48,6%,50%
33,Cannon Cart,34,48,4%,50%
34,Bats,35,48,16%,50%
35,Skeletons,36,48,22%,50%
36,Royal Giant,37,48,5%,50%
37,Giant,38,48,13%,50%
38,Princess,39,48,7%,50%
39,Inferno Tower,40,48,6%,50%
40,Arrows,41,48,20%,49%
41,Heal Spirit,42,48,6%,50%
42,Goblin Barrel,43,47,7%,50%
43,Earthquake,44,47,10%,50%
44,Fireball,45,47,28%,49%
45,Goblin Cage,46,47,4%,50%
46,Ram Rider,47,47,6%,50%
47,Guards,48,47,10%,49%
48,Witch,49,46,3%,50%
49,Magic Archer,50,46,7%,49%
50,Mortar,51,46,5%,50%
51,Hunter,52,46,5%,50%
52,Minion Horde,53,46,6%,49%
53,Rascals,54,46,2%,50%
54,Night Witch,55,46,6%,49%
55,Zap,56,46,21%,49%
56,Minions,57,46,5%,49%
57,Barbarians,58,46,4%,49%
58,Electro Wizard,59,46,12%,49%
59,Mega Knight,60,46,10%,49%
60,Ice Golem,61,46,7%,49%
61,Electro Dragon,62,46,4%,49%
62,Sparky,63,46,6%,49%
63,Lumberjack,64,46,7%,49%
64,Miner,65,45,15%,49%
65,Mega Minion,66,45,12%,49%
66,Mini P.E.K.K.A,67,45,6%,49%
67,Wall Breakers,68,45,5%,49%
68,Balloon,69,45,8%,49%
69,Hog Rider,70,45,9%,49%
70,Goblin Drill,71,45,3%,49%
71,Golem,72,45,5%,49%
72,Tesla,73,45,7%,49%
73,Three Musketeers,74,45,3%,50%
74,Elite Barbarians,75,45,7%,49%
75,Dart Goblin,76,45,4%,49%
76,Inferno Dragon,77,45,11%,49%
77,Skeleton Barrel,78,44,2%,50%
78,Executioner,79,44,2%,49%
79,Musketeer,80,44,7%,49%
80,Lava Hound,81,44,7%,48%
81,Goblins,82,44,1%,50%
82,Poison,83,44,6%,49%
83,Goblin Gang,84,44,3%,49%
84,Skeleton Dragons,85,43,4%,49%
85,Knight,86,43,5%,48%
86,Bomb Tower,87,43,3%,49%
87,Elixir Collector,88,43,2%,49%
88,Wizard,89,43,1%,49%
89,Flying Machine,90,43,4%,48%
90,Ice Spirit,91,42,4%,48%
91,Furnace,92,42,0%,51%
92,Prince,93,41,4%,48%
93,Clone,94,41,2%,48%
94,Giant Skeleton,95,40,1%,48%
95,Archers,96,40,2%,48%
96,Mirror,97,40,1%,49%
97,Royal Recruits,98,40,1%,48%
98,Goblin Giant,99,40,2%,48%
99,Elixir Golem,100,40,1%,48%
100,Battle Healer,101,39,1%,48%
101,Barbarian Hut,102,38,0%,48%
102,Rage,103,37,3%,46%
103,Golden Knight,104,37,1%,47%
104,Firecracker,105,36,1%,47%
105,Goblin Hut,106,35,1%,48%
